timestamp_ms,open,high,low,close,volume
1785141900000,76.271,76.35,76.19,76.281,48951.78
1785142800000,76.277,76.277,76.086,76.165,23637.55
1785143700000,76.165,76.329,76.157,76.305,20988.67
1785144600000,76.304,76.477,76.28,76.412,20089.66
1785145500000,76.405,76.529,76.404,76.452,20775.39
1785146400000,76.459,76.463,76.383,76.448,18497.69
1785147300000,76.455,76.604,76.448,76.551,20300.28
1785148200000,76.558,76.629,76.517,76.602,18862.38
1785149100000,76.608,76.643,76.537,76.578,23562.64
1785150000000,76.571,76.582,76.45,76.537,24346.49
1785150900000,76.531,76.625,76.479,76.479,19641.34
1785151800000,76.479,76.655,76.473,76.598,28133.3
1785152700000,76.598,76.598,76.471,76.472,26449.59
1785153600000,76.472,76.743,76.471,76.516,31474.67
1785154500000,76.522,76.613,76.355,76.356,27079.67
1785155400000,76.362,76.823,76.21,76.822,38044.44
1785156300000,76.822,77.045,76.778,76.815,44180.59
1785157200000,76.815,76.935,76.587,76.595,38212.0
1785158100000,76.587,76.652,76.42,76.475,21604.21
1785159000000,76.471,77.463,76.44,77.355,90719.33
1785159900000,77.345,77.438,76.749,76.865,76284.5
1785160800000,76.865,76.95,76.668,76.892,37237.82
1785161700000,76.896,76.946,75.763,75.784,96323.9
1785162600000,75.784,75.784,75.03,75.058,93563.35
1785163500000,75.066,75.597,75.005,75.429,40094.1
1785164400000,75.423,75.562,75.274,75.505,30766.88
1785165300000,75.505,75.55,75.221,75.319,33090.68
1785166200000,75.327,75.469,75.032,75.384,58460.85
1785167100000,75.387,75.44,75.235,75.236,20189.75
1785168000000,75.235,75.346,75.15,75.227,25667.94
1785168900000,75.227,75.712,75.11,75.659,43096.77
1785169800000,75.659,75.859,75.658,75.779,32207.87
1785170700000,75.802,75.93,75.721,75.892,37688.64
1785171600000,75.899,75.972,75.77,75.925,27531.59
1785172500000,75.918,76.205,75.878,75.971,31302.82
1785173400000,75.971,76.1,75.921,75.935,27236.06
1785174300000,75.928,75.935,75.775,75.862,25594.06
1785175200000,75.855,75.956,75.73,75.762,19866.57
1785176100000,75.735,75.739,75.501,75.568,29751.72
1785177000000,75.569,75.593,75.228,75.385,23879.08
1785177900000,75.381,75.569,75.251,75.563,28618.58
1785178800000,75.569,75.962,75.458,75.845,28754.76
1785179700000,75.845,75.908,75.698,75.792,20077.66
1785180600000,75.798,75.935,75.737,75.785,36484.88
1785181500000,75.785,76.024,75.712,75.931,26357.66
1785182400000,75.972,76.055,75.814,75.841,25223.19
1785183300000,75.848,76.099,75.777,76.058,24076.42
1785184200000,76.057,76.065,75.814,75.834,18087.68
1785185100000,75.841,75.944,75.755,75.925,24200.64
1785186000000,75.924,75.953,75.801,75.864,17692.36
1785186900000,75.864,75.871,75.537,75.545,21809.3
1785187800000,75.538,75.633,75.488,75.548,28746.93
1785188700000,75.548,75.632,75.473,75.573,17070.56
1785189600000,75.566,75.574,75.291,75.368,21681.63
1785190500000,75.368,75.409,75.13,75.189,23974.58
1785191400000,75.189,75.336,74.622,74.67,55965.13
1785192300000,74.678,74.681,73.967,74.03,79715.16
1785193200000,74.031,74.077,73.708,74.026,44277.71
1785194100000,74.026,74.376,73.935,74.259,22737.0
1785195000000,74.252,74.332,73.914,73.958,28061.27
1785195900000,73.965,74.19,73.932,74.172,19385.77
1785196800000,74.176,74.249,73.891,74.006,30032.25
1785197700000,74.007,74.117,73.726,73.929,27958.12
1785198600000,73.929,74.037,73.8,73.916,18279.25
1785199500000,73.916,73.942,73.628,73.678,38641.57
1785200400000,73.672,73.703,72.822,73.248,80272.42
1785201300000,73.244,73.373,72.938,73.306,27192.01
1785202200000,73.305,73.437,73.124,73.248,31862.83
1785203100000,73.248,73.383,73.111,73.143,22059.89
1785204000000,73.143,73.279,73.024,73.278,24004.78
1785204900000,73.278,73.396,73.194,73.338,21379.56
1785205800000,73.332,73.37,73.2,73.211,17581.78
1785206700000,73.203,73.369,73.134,73.325,21628.41
1785207600000,73.319,73.377,73.174,73.282,17222.16
1785208500000,73.282,73.341,73.209,73.225,18157.88
1785209400000,73.224,73.323,73.114,73.309,19170.83
1785210300000,73.308,73.323,73.148,73.225,16427.88
1785211200000,73.224,73.225,73.104,73.139,18256.21
1785212100000,73.146,73.205,73.059,73.059,19579.51
1785213000000,73.065,73.119,72.928,73.105,21289.96
1785213900000,73.112,73.225,73.105,73.158,19190.45
1785214800000,73.177,73.33,73.142,73.291,19288.72
1785215700000,73.291,73.496,73.291,73.383,30404.59
1785216600000,73.383,73.39,73.209,73.389,20445.69
1785217500000,73.389,73.42,73.212,73.212,21387.12
1785218400000,73.212,73.213,73.078,73.146,21659.36
1785219300000,73.146,73.35,73.138,73.303,18990.28
1785220200000,73.303,73.434,73.302,73.424,40901.15
1785221100000,73.424,73.44,73.359,73.389,21171.65
1785222000000,73.396,73.436,73.325,73.399,18494.2
1785222900000,73.399,73.424,73.328,73.386,20802.13
1785223800000,73.386,73.387,73.165,73.176,19508.16
1785224700000,73.183,73.261,73.085,73.242,20771.63
1785225600000,73.242,73.334,73.187,73.239,16251.0
1785226500000,73.239,73.294,73.102,73.262,24400.78
1785227400000,73.269,73.337,73.19,73.331,19896.28
1785228300000,73.331,73.39,73.274,73.309,17646.41
1785229200000,73.316,73.383,73.231,73.376,23405.1
1785230100000,73.376,73.457,73.319,73.383,17383.34
