timestamp_ms,open,high,low,close,volume
1785141900000,8.804,8.82,8.79,8.796,4605.3
1785142800000,8.797,8.797,8.758,8.762,15392.0
1785143700000,8.762,8.778,8.761,8.776,9157.6
1785144600000,8.775,8.802,8.77,8.795,7212.0
1785145500000,8.795,8.813,8.787,8.792,8700.6
1785146400000,8.792,8.799,8.781,8.781,4380.4
1785147300000,8.781,8.802,8.773,8.79,28186.2
1785148200000,8.79,8.815,8.786,8.815,14896.8
1785149100000,8.815,8.818,8.791,8.793,13294.9
1785150000000,8.793,8.793,8.767,8.782,8941.0
1785150900000,8.782,8.782,8.747,8.752,16643.7
1785151800000,8.747,8.768,8.747,8.763,14158.2
1785152700000,8.762,8.763,8.748,8.753,10820.3
1785153600000,8.752,8.78,8.737,8.746,11973.6
1785154500000,8.745,8.756,8.728,8.735,17662.4
1785155400000,8.734,8.753,8.709,8.749,15128.8
1785156300000,8.749,8.765,8.739,8.75,27911.7
1785157200000,8.749,8.756,8.726,8.727,7757.2
1785158100000,8.727,8.742,8.714,8.719,13086.3
1785159000000,8.717,8.815,8.7,8.805,48764.7
1785159900000,8.807,8.812,8.75,8.765,32656.6
1785160800000,8.765,8.774,8.736,8.768,12591.2
1785161700000,8.768,8.773,8.66,8.664,43172.4
1785162600000,8.664,8.665,8.534,8.535,27427.4
1785163500000,8.535,8.607,8.534,8.594,25992.7
1785164400000,8.594,8.617,8.571,8.607,17887.3
1785165300000,8.608,8.619,8.576,8.591,14660.4
1785166200000,8.591,8.607,8.555,8.585,7452.8
1785167100000,8.585,8.593,8.57,8.571,4291.2
1785168000000,8.571,8.587,8.559,8.565,9484.9
1785168900000,8.566,8.622,8.55,8.616,8515.4
1785169800000,8.617,8.641,8.616,8.641,14395.6
1785170700000,8.641,8.649,8.62,8.638,14261.9
1785171600000,8.637,8.642,8.607,8.626,12383.0
1785172500000,8.625,8.648,8.618,8.626,7138.5
1785173400000,8.627,8.641,8.621,8.626,4750.3
1785174300000,8.626,8.628,8.607,8.62,11157.4
1785175200000,8.621,8.627,8.608,8.613,5314.3
1785176100000,8.612,8.613,8.587,8.592,4817.2
1785177000000,8.592,8.597,8.558,8.573,9568.8
1785177900000,8.574,8.592,8.558,8.591,5209.2
1785178800000,8.592,8.638,8.581,8.625,10750.9
1785179700000,8.625,8.643,8.621,8.631,5176.7
1785180600000,8.631,8.655,8.626,8.634,6594.3
1785181500000,8.634,8.641,8.626,8.632,4113.6
1785182400000,8.631,8.642,8.617,8.62,3968.2
1785183300000,8.62,8.639,8.613,8.637,14095.8
1785184200000,8.637,8.637,8.606,8.607,2996.0
1785185100000,8.607,8.618,8.6,8.618,3854.2
1785186000000,8.617,8.621,8.605,8.611,3960.1
1785186900000,8.611,8.615,8.586,8.587,4731.5
1785187800000,8.587,8.594,8.581,8.59,3886.2
1785188700000,8.59,8.591,8.58,8.58,3150.5
1785189600000,8.581,8.581,8.546,8.573,9387.5
1785190500000,8.573,8.578,8.548,8.557,3789.0
1785191400000,8.557,8.569,8.508,8.513,10422.0
1785192300000,8.514,8.515,8.412,8.429,17587.8
1785193200000,8.428,8.429,8.375,8.4,13283.9
1785194100000,8.4,8.423,8.382,8.386,6097.9
1785195000000,8.385,8.395,8.342,8.345,10120.5
1785195900000,8.346,8.376,8.344,8.376,16036.6
1785196800000,8.375,8.377,8.338,8.356,13221.1
1785197700000,8.36,8.381,8.326,8.351,17803.4
1785198600000,8.351,8.37,8.331,8.354,14012.7
1785199500000,8.354,8.359,8.34,8.343,11399.1
1785200400000,8.344,8.35,8.276,8.323,22312.6
1785201300000,8.322,8.342,8.288,8.335,5205.7
1785202200000,8.336,8.357,8.32,8.328,5921.0
1785203100000,8.328,8.332,8.307,8.32,4600.7
1785204000000,8.32,8.333,8.309,8.333,6373.7
1785204900000,8.333,8.347,8.323,8.334,6200.7
1785205800000,8.334,8.335,8.315,8.318,7726.0
1785206700000,8.317,8.332,8.308,8.318,3775.0
1785207600000,8.317,8.327,8.308,8.319,22500.3
1785208500000,8.318,8.337,8.31,8.326,13674.1
1785209400000,8.327,8.339,8.314,8.338,6190.1
1785210300000,8.337,8.344,8.324,8.33,5311.3
